Community,House District,Senate,District Description,Election Region
Red Devil,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Red Dog Mine,40,T,Arctic,4
Ridgeway (part),29,O,North Kenai,1
Ridgeway (part),30,O,Kenai/Soldotna,1
Ruby,39,T,Bering Straits/Yukon Delta,3
Russian Mission,38,S,Lower Kuskokwim,4
Salamatof,29,O,North Kenai,1
Salcha,06,C,Eielson/Denali/Upper Yukon/Border,3
Sand Point,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Savoonga,39,T,Bering Straits/Yukon Delta,4
Saxman,36,R,Ketchikan/Wrangell/Metlakatla/Hydaburg,1
Scammon Bay,39,T,Bering Straits/Yukon Delta,4
Selawik,40,T,Arctic,4
Seldovia,32,P,Kodiak/Cordova/Seldovia,1
Seldovia Village,32,P,Kodiak/Cordova/Seldovia,1
Seward,29,O,North Kenai,1
Shageluk,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,3
Shaktoolik,39,T,Bering Straits/Yukon Delta,4
Shishmaref,39,T,Bering Straits/Yukon Delta,4
Shungnak,40,T,Arctic,4
Silver Springs,06,C,Eielson/Denali/Upper Yukon/Border,3
Sitka,35,R,Sitka/Petersburg,1
Skagway,33,Q,Downtown Juneau/Douglas/Haines/Skagw,1
Skwentna,10,E,Rural Mat_Su,2
Slana,06,C,Eielson/Denali/Upper Yukon/Border,3
Sleetmute,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Soldotna,30,O,Kenai/Soldotna,1
South Naknek,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
South Van Horn,05,C,Chena Ridge/Airport,3
Saint George,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Saint Mary's,39,T,Bering Straits/Yukon Delta,4
Saint Michael,39,T,Bering Straits/Yukon Delta,4
Saint Paul,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Stebbins,39,T,Bering Straits/Yukon Delta,4
Steele Creek (part),03,B,North Pole/Badger,3
Steele Creek (part),04,B,Western Fairbanks,3
Steele Creek (part),06,C,Eielson/Denali/Upper Yukon/Border,3
Sterling,29,O,North Kenai,1
Stevens Village,06,C,Eielson/Denali/Upper Yukon/Border,3
Stony River,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Sunrise,29,O,North Kenai,1
Susitna (part),08,D,Big Lake/Point Mackenzie,2
Susitna (part),10,E,Rural Mat_Su,2
Susitna North,10,E,Rural Mat_Su,2
Sutton-Alpine,09,E,Richardson Hwy/East Mat_Su,3
Takotna,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,3
Talkeetna,10,E,Rural Mat_Su,2
Tanacross,06,C,Eielson/Denali/Upper Yukon/Border,3
Tanaina (part),07,D,Greater Wasilla,2
Tanaina (part),10,E,Rural Mat_Su,2
Tanana,06,C,Eielson/Denali/Upper Yukon/Border,3
Tatitlek,32,P,Kodiak/Cordova/Seldovia,1
Tazlina,06,C,Eielson/Denali/Upper Yukon/Border,3
Teller,39,T,Bering Straits/Yukon Delta,4
Tenakee Springs,35,R,Sitka/Petersburg,1
Tetlin,06,C,Eielson/Denali/Upper Yukon/Border,3
Thorne Bay,35,R,Sitka/Petersburg,1
Togiak,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Tok,06,C,Eielson/Denali/Upper Yukon/Border,3
Toksook Bay,38,S,Lower Kuskokwim,4
Tolsona,09,E,Richardson Hwy/East Mat_Su,3
Tonsina (part),06,C,Eielson/Denali/Upper Yukon/Border,3
Tonsina (part),09,E,Richardson Hwy/East Mat_Su,3
Trapper Creek,10,E,Rural Mat_Su,2
Tuluksak,38,S,Lower Kuskokwim,4
Tuntutuliak,38,S,Lower Kuskokwim,4
Tununak,38,S,Lower Kuskokwim,4
Twin Hills,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Two Rivers,06,C,Eielson/Denali/Upper Yukon/Border,3
Tyonek,32,P,Kodiak/Cordova/Seldovia,1
Ugashik,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Unalakleet,39,T,Bering Straits/Yukon Delta,4
Unalaska,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Upper Kalskag,38,S,Lower Kuskokwim,4
Valdez,09,E,Richardson Hwy/East Mat_Su,3
Venetie,06,C,Eielson/Denali/Upper Yukon/Border,3
Wainwright,40,T,Arctic,4
Wales,39,T,Bering Straits/Yukon Delta,4
Wasilla,07,D,Greater Wasilla,2
Whale Pass,35,R,Sitka/Petersburg,1
White Mountain,39,T,Bering Straits/Yukon Delta,4
Whitestone,09,E,Richardson Hwy/East Mat_Su,3
Whitestone Logging Camp,35,R,Sitka/Petersburg,1
Whittier,09,E,Richardson Hwy/East Mat_Su,3
Willow,10,E,Rural Mat_Su,2
Willow Creek (part),06,C,Eielson/Denali/Upper Yukon/Border,3
Willow Creek (part),09,E,Richardson Hwy/East Mat_Su,3
Wiseman,40,T,Arctic,3
Womens Bay,32,P,Kodiak/Cordova/Seldovia,1
Wrangell,36,R,Ketchikan/Wrangell/Metlakatla/Hydaburg,1
Yakutat,32,P,Kodiak/Cordova/Seldovia,1
