Community Name,Distance,Reference Community,Peak Month % of total,Capacity Factor
Saint George,45,Saint PAUL,0.12,0.72
Saint Mary's,98,BETHEL,0.14,0.6
Saint Michael,47,UNALAKLEET,0.14,0.61
Saint Paul,0,Saint PAUL,0.12,0.72
Salamatof,64,ANCHORAGE,0.15,0.58
Salcha,43,BIG DELTA,0.16,0.54
Sanak,50,COLD BAY,0.12,0.71
Sand Point,89,COLD BAY,0.12,0.71
Savoonga,163,NOME,0.13,0.64
Saxman,232,JUNEAU,0.14,0.6
Scammon Bay,145,BETHEL,0.14,0.6
Selawik,73,KOTZEBUE,0.13,0.63
Seldovia,15,HOMER,0.13,0.65
Seldovia Village,12,HOMER,0.13,0.65
Seward,77,ANCHORAGE,0.15,0.58
Shageluk,74,ANNETTE,0.13,0.63
Shakan Bay,152,JUNEAU,0.14,0.6
Shaktoolik,35,UNALAKLEET,0.14,0.61
Shishmaref,105,KOTZEBUE,0.13,0.63
Shungnak,148,KOTZEBUE,0.13,0.63
Shuyak Island,53,KODIAK,0.12,0.69
Silver Springs,18,GULKANA,0.16,0.54
Sitka,93,JUNEAU,0.14,0.6
Skagway,86,JUNEAU,0.14,0.6
Skwentna,43,TALKEETNA,0.15,0.57
Slana,54,GULKANA,0.16,0.54
Sleetmute,79,ANNETTE,0.13,0.63
Soldotna,61,HOMER,0.13,0.65
Solomon,28,NOME,0.13,0.64
South Lakes,32,ANCHORAGE,0.15,0.58
South Naknek,12,King Salmon,0.14,0.61
South Van Horn,73,BIG DELTA,0.16,0.54
Squaw Harbor,85,COLD BAY,0.12,0.71
Stebbins,52,UNALAKLEET,0.14,0.61
Steele Creek,71,BIG DELTA,0.16,0.54
Sterling,56,ANCHORAGE,0.15,0.58
Stevens Village,92,BETTLES,0.15,0.55
Stony River,87,MCGRATH,0.16,0.53
Takotna,15,MCGRATH,0.16,0.53
Talkeetna,0,TALKEETNA,0.15,0.57
Tanacross,93,BIG DELTA,0.16,0.54
Tanaina,32,ANCHORAGE,0.15,0.58
Tanana,122,BETTLES,0.15,0.55
Tatitlek,21,VALDEZ,0.14,0.62
Tazlina,15,GULKANA,0.16,0.54
Telida,78,MCGRATH,0.16,0.53
Teller,60,NOME,0.13,0.64
Tenakee Springs,47,JUNEAU,0.14,0.6
Tetlin,109,GULKANA,0.16,0.54
Thorne Bay,194,JUNEAU,0.14,0.6
Togiak,130,BETHEL,0.14,0.6
Tok,104,BIG DELTA,0.16,0.54
Toksook Bay,115,BETHEL,0.14,0.6
Tolsona,27,GULKANA,0.16,0.54
Tonsina,42,GULKANA,0.16,0.54
Trapper Creek,4,TALKEETNA,0.15,0.57
Tuluksak,34,BETHEL,0.14,0.6
Tuntutuliak,44,BETHEL,0.14,0.6
Tununak,119,BETHEL,0.14,0.6
Twin Hills,130,BETHEL,0.14,0.6
Two Rivers,62,BIG DELTA,0.16,0.54
Tyonek,43,ANCHORAGE,0.15,0.58
Uganik,35,KODIAK,0.12,0.69
Ugashik,86,King Salmon,0.14,0.61
Umiat,170,BETTLES,0.15,0.55
Unalakleet,0,UNALAKLEET,0.14,0.61
Unalaska,178,COLD BAY,0.12,0.71
Unga,87,COLD BAY,0.12,0.71
Upper Kalskag,25,ANNETTE,0.13,0.63
Uyak,60,KODIAK,0.12,0.69
Valdez,0,VALDEZ,0.14,0.62
Venetie,138,BETTLES,0.15,0.55
Wainwright,86,BARROW,0.12,0.67
Wales,110,NOME,0.13,0.64
Ward Cove,224,JUNEAU,0.14,0.6
Whale Pass,158,JUNEAU,0.14,0.6
White Mountain,60,NOME,0.13,0.64
Whitestone,2,BIG DELTA,0.16,0.54
Whitestone Logging Camp,40,JUNEAU,0.14,0.6
Willow,36,ANCHORAGE,0.15,0.58
Wiseman,51,BETTLES,0.15,0.55
Womens Bay,9,KODIAK,0.12,0.69
Wrangell,147,JUNEAU,0.14,0.6
Yakutat,0,YAKUTAT,0.13,0.65
