community_names,purchased_from,Energy Source
"Thorne Bay, Kasaan",AP&T,Hydro
"Thorne Bay, Kasaan",Intertie from Craig,Hydro
Tuntutuliak,Calista Corporation,Wind
Tununak,Intertie from Toksook Bay.,Hydro
Unalaska,"UNISEA, INC",Diesel
Unalaska,UNISEA INC.,Diesel
Unalaska,UNISEA INC.,Diesel
Unalaska,"Unisea, Inc.",Diesel
Unalaska,UNISEA,Diesel
Unalaska,Unisea,Diesel
Unalaska,Unisea Inc.,Diesel
Unalaska,"Unisea, Inc.",Diesel
Unalaska,"Unisea, Inc.",Diesel
Unalaska,UNISEA Inc.,Diesel
Unalaska,"UNISEA, Inc.",Diesel
Unalaska,"UNISEA, Inc.",Diesel
Unalaska,UNISEA Inc.,Diesel
Unalaska,UNISEA INC,Diesel
Unalaska,"UNISEA, INC.",Diesel
Unalaska,"UNISEA, Inc.",Diesel
Unalaska,Unisea/RandallBaker,Diesel
