City,System Type,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Kiana,Circulating/Gravity,,,,,,,,,FALSE,FALSE
King Cove,Pressure/Gravity,,,,,,,,,FALSE,FALSE
King Salmon,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kipnuk,Washeteria,1760,0,0,0,0,153200,0,0,FALSE,FALSE
Kivalina,Washeteria,,,,,,,,,FALSE,FALSE
Klawock,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Klukwan,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kobuk,Circulating/Gravity,,,,,,,,,FALSE,TRUE
Kodiak,Pressure/Gravity,12100,16303.44526,0,491998.928,0,0,0,0,FALSE,FALSE
Kodiak Station,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kokhanok,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Koliganek,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kongiganak,Washeteria,8903,4581.941606,0,36182.82638,0,0,0,0,TRUE,FALSE
Kotlik,Circulating/Vacuum,,,,,,,,,FALSE,FALSE
Kotzebue,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Koyuk,Circulating/Gravity,2753,13303,3378,90964,69040,476935,0,0,FALSE,FALSE
Koyukuk,Washeteria,1089,1811.386861,0,21248.19123,0,0,0,0,FALSE,TRUE
Kupreanof,,,,,,,,,,FALSE,FALSE
Kwethluk,Circulating/Pressure,,,,,,,,,FALSE,FALSE
Kwigillingok,Closed Haul/Closed Haul,,,,,,,,,TRUE,FALSE
Lake Minchumina,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Larsen Bay,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Levelock,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Lime Village,Washeteria,,,,,,,,,FALSE,FALSE
Livengood,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Lowell Point,None,,,,,,,,,FALSE,FALSE
Lower Kalskag,Circulating/Gravity,1512,1946,179,71221,58232,13350,0,0,FALSE,FALSE
Lutak,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Manley Hot Springs,Watering Point,0,0,0,0,0,0,0,0,FALSE,FALSE
Manokotak,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Marshall,Circulating/Gravity,1560,6000,1457,96843,75377,80355,0,0,TRUE,FALSE
