#,,,,,
#,,,,,
#,,Data,,,
Community,Data Year,Sum - Residential Megawatthours,Sum - Commercial Megawatthours,Sum - Industrial Megawatthours,Sum - Total Megawatthours
Bethel,2009,9959,28139,,38098
Bethel,2010,10144,28510,,38654
Bethel,2011,10246,28518,,38764
Bethel,2012,10677,30229,,40906
Bethel,2013,10279,29254,,39533
Bethel,2014,3598,10335,,13933
Birch Creek,2003,70,0,0,70
Birch Creek,2004,73,0,0,73
Birch Creek,2005,73,0,0,73
Birch Creek,2006,85,0,0,85
Birch Creek,2007,65,52,0,117
Birch Creek,2008,21,59,0,80
Birch Creek,2009,53,49,,102
Birch Creek,2010,56,52,,108
Birch Creek,2011,57,53,,110
Central,2003,231,219,0,450
Central,2004,236,241,0,477
Central,2005,229,208,0,437
Central,2006,227,157,0,384
Central,2007,226,196,0,422
Central,2008,237,171,0,408
Central,2009,253,168,,421
Central,2010,243,168,0,411
Central,2011,266,174,,440
Chefornak,2003,364,239,0,603
Chefornak,2004,360,330,0,690
Chefornak,2005,357,265,0,622
Chefornak,2006,360,278,0,638
Chefornak,2007,407,309,0,716
Chefornak,2008,444,511,0,955
Chefornak,2009,442,555,,997
Chefornak,2010,424,583,,1007
Chefornak,2011,433,707,,1140
Chignik,2003,223,350,0,573
Chignik,2004,217,359,0,576
Chignik,2005,362,181,0,543
Chignik,2006,217,365,0,582
Chignik,2007,193,296,0,489
Chignik,2008,185,349,0,534
Chignik,2009,182,523,,705
Chignik,2010,193,623,0,816
Chignik,2011,207,592,,799
Chitina,2003,120,289,0,409
Chitina,2004,119,286,0,405
Chitina,2005,115,261,0,376
Chitina,2006,129,287,0,416
Chitina,2007,156,230,0,386
Chitina,2008,173,221,0,394
Chitina,2009,173,242,,415
Chitina,2010,165,296,,461
Chitina,2011,167,313,,480
Cold Bay,2003,404,2107,161,2672
Cold Bay,2004,0,0,0,0
Cold Bay,2005,402,2144,158,2704
Cold Bay,2006,395,2050,155,2600
Cold Bay,2007,390,1990,154,2534
Cold Bay,2008,389,2043,173,2605
Cold Bay,2009,380,1975,168,2523
Cold Bay,2010,401,1879,193,2473
Cold Bay,2011,385,1852,169,2406
Copper Valley,2003,18236,46623,10821,75680
Copper Valley,2004,18552,46722,11704,76978
Copper Valley,2005,18034,59327,0,77361
Copper Valley,2006,17425,58376,0,75801
Copper Valley,2007,17185,57977,0,75162
Copper Valley,2008,16648,56011,0,72659
