Community ,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Craig,1.53,1.87,2.14,2.5,2.68,2.8,2.9,2.96,3.01,3.08,3.16,3.22,3.28,3.35,3.39,3.47,3.56,3.64,3.73,3.78,3.87,3.92,4.01,4.08,4.18
Crooked Creek,2.23,2.65,2.97,3.4,3.6,3.74,3.85,3.92,3.98,4.05,4.14,4.21,4.27,4.35,4.4,4.49,4.58,4.67,4.77,4.83,4.92,4.98,5.08,5.15,5.26
Deering,2.29,2.73,3.05,3.5,3.71,3.85,3.96,4.03,4.1,4.17,4.26,4.33,4.4,4.48,4.53,4.62,4.72,4.81,4.91,4.97,5.07,5.13,5.23,5.3,5.41
Dillingham,1.62,1.93,2.15,2.47,2.61,2.72,2.79,2.85,2.89,2.94,3,3.06,3.1,3.16,3.2,3.26,3.33,3.39,3.46,3.5,3.57,3.62,3.69,3.74,3.82
Diomede,2.54,3.02,3.38,3.87,4.1,4.26,4.38,4.46,4.53,4.61,4.71,4.8,4.87,4.96,5.01,5.12,5.22,5.32,5.43,5.5,5.61,5.67,5.78,5.87,5.99
Dot Lake,1.6,1.96,2.23,2.62,2.8,2.93,3.03,3.1,3.15,3.22,3.3,3.37,3.42,3.5,3.55,3.63,3.72,3.8,3.89,3.95,4.04,4.1,4.19,4.26,4.37
Eagle,1.63,2,2.29,2.68,2.87,3,3.1,3.17,3.22,3.29,3.38,3.45,3.5,3.58,3.63,3.72,3.8,3.89,3.99,4.04,4.14,4.2,4.29,4.37,4.47
Edna Bay,1.57,1.92,2.19,2.57,2.75,2.88,2.97,3.04,3.1,3.16,3.24,3.31,3.36,3.44,3.49,3.57,3.65,3.74,3.83,3.88,3.97,4.03,4.12,4.19,4.29
Eek,1.91,2.27,2.54,2.91,3.08,3.2,3.29,3.35,3.4,3.46,3.54,3.6,3.65,3.72,3.76,3.84,3.92,3.99,4.08,4.13,4.21,4.26,4.34,4.4,4.49
Egegik,2.72,3.15,3.47,3.89,4.09,4.22,4.33,4.4,4.45,4.52,4.61,4.68,4.73,4.81,4.86,4.94,5.03,5.11,5.2,5.26,5.35,5.4,5.49,5.56,5.66
Ekwok,3.61,4.18,4.6,5.15,5.41,5.59,5.72,5.82,5.89,5.98,6.09,6.18,6.26,6.36,6.42,6.53,6.64,6.75,6.87,6.94,7.06,7.13,7.25,7.34,7.46
Elfin Cove,1.89,2.33,2.65,3.11,3.33,3.48,3.6,3.68,3.74,3.82,3.92,4,4.07,4.16,4.21,4.32,4.42,4.52,4.63,4.7,4.81,4.87,4.98,5.07,5.19
Elim,1.75,2.08,2.33,2.67,2.83,2.94,3.02,3.08,3.13,3.18,3.25,3.31,3.36,3.42,3.46,3.53,3.6,3.67,3.74,3.79,3.87,3.91,3.99,4.05,4.13
Emmonak,1.84,2.19,2.45,2.81,2.98,3.09,3.18,3.24,3.29,3.35,3.42,3.48,3.53,3.6,3.64,3.71,3.79,3.86,3.94,3.99,4.07,4.12,4.2,4.26,4.34
Evansville,1.77,2.18,2.48,2.91,3.11,3.26,3.36,3.44,3.5,3.58,3.67,3.74,3.81,3.89,3.94,4.04,4.13,4.23,4.33,4.39,4.49,4.56,4.66,4.74,4.85
Excursion Inlet,1.83,2.25,2.56,3.01,3.22,3.37,3.48,3.55,3.62,3.69,3.79,3.87,3.93,4.02,4.07,4.17,4.27,4.37,4.47,4.54,4.64,4.71,4.82,4.9,5.02
False Pass,1.64,2.02,2.3,2.7,2.89,3.02,3.12,3.19,3.25,3.31,3.4,3.47,3.53,3.61,3.65,3.74,3.83,3.92,4.01,4.07,4.17,4.22,4.32,4.39,4.5
Fort Yukon,3.42,3.97,4.37,4.91,5.16,5.33,5.46,5.55,5.63,5.71,5.82,5.91,5.98,6.08,6.14,6.25,6.36,6.46,6.58,6.65,6.76,6.83,6.95,7.04,7.16
Gakona,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Galena,2.57,3.06,3.42,3.92,4.15,4.32,4.44,4.52,4.59,4.67,4.77,4.86,4.93,5.02,5.08,5.18,5.28,5.39,5.5,5.57,5.68,5.75,5.86,5.94,6.06
