City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Koyukuk,Washeteria,2010,1089,1811.386861,,21248.19123,,,0,0,FALSE,TRUE
Kupreanof,Unknown,2010,,,,,,,,,FALSE,FALSE
Kwethluk,Circulating/Pressure,2010,2000,,,,,,,,FALSE,FALSE
Kwigillingok,Closed Haul/Closed Haul,2010,,,,,,,,,TRUE,FALSE
Lake Minchumina,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Larsen Bay,Pressure/Gravity,2010,3466,,,,,,,,FALSE,FALSE
Levelock,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Lime Village,Washeteria,2010,1558,,,,,,,,FALSE,FALSE
Livengood,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Lowell Point,None,2010,,,,,,,,,FALSE,FALSE
Lower Kalskag,Circulating/Gravity,2010,1512,1946,179,71221,58232,13350,0,0,FALSE,FALSE
Lutak,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Manley Hot Springs,Watering Point,2010,,,,,,,,,FALSE,FALSE
Manokotak,Pressure/Gravity,2010,1212,,,,,,,,FALSE,FALSE
Marshall,Circulating/Gravity,2010,1560,6000,1457,96843,75377,80355,0,0,TRUE,FALSE
Mccarthy,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Mcgrath,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Mckinley Park,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Mekoryuk,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Mendeltna,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Mentasta Lake,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Metlakatla,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Minto,Circulating/Gravity,2010,,,,,,,,,TRUE,FALSE
Moose Creek,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Moose Pass,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Mosquito Lake,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Mountain Village,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Mud Bay,Unknown,2010,,,,,,,,,FALSE,FALSE
Naknek,Wells/ST/DF,2010,3020,1877,1352,5494,5012,9366,0,0,FALSE,FALSE
Nanwalek,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Napakiak,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Napaskiak,Closed Haul/Closed Haul,2010,4619,9161,5839,55111,49028,17735,0,0,FALSE,FALSE
Naukati Bay,None,2010,,,,,,,,,FALSE,FALSE
Nelson Lagoon,Pressure/NA,2010,,,,,,,,,FALSE,FALSE
Nenana,Circulating/Gravity,2010,10000,,,,,,,,FALSE,FALSE
New Allakaket,Washeteria,2010,,,,,,,,,TRUE,FALSE
New Stuyahok,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Newhalen,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Newtok,Washeteria,2010,1884,,,22565.10793,9127,1500,0,0,TRUE,FALSE
Nightmute,Closed Haul/Closed Haul,2010,450,,,21148,10156,4905,0,0,FALSE,FALSE
Nikolaevsk,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Nikolai,Wells/NA,2010,,,,,,,,,FALSE,FALSE
Nikolski,Pressure/NA,2010,,,,,,,,,FALSE,FALSE
Ninilchik,Unknown,2010,,,,,,,,,FALSE,FALSE
Noatak,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Nome,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Nondalton,Pressure/Gravity,2010,900,,,,,,,,FALSE,FALSE
Noorvik,Circulating/Vacuum,2010,8928,16415,0,23550,162971,117971,,,FALSE,FALSE
Northway,Closed Haul/Closed Haul,2010,510,,,,,,,,FALSE,FALSE
Northway Junction,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Northway Village,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Nuiqsut,Circulating/Gravity,2010,7566,,,535641.8207,,,0,0,FALSE,FALSE
Nulato,Circulating/Gravity,2010,6941,12506,10896,143068,85565,37100,0,0,FALSE,FALSE
Nunam Iqua,Circulating/Vacuum,2010,4620,3857,1928,149965,111853,28220,7550.724638,3611.803279,TRUE,FALSE
Nunapitchuk,Closed Haul/Closed Haul,2010,3270,7410,4684,33613,31010,16650,0,0,FALSE,FALSE
Old Harbor,Pressure/Gravity,2010,768,,,,,,,,FALSE,FALSE
Oscarville,Washeteria,2010,,,,,,,,,FALSE,FALSE
Ouzinkie,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Paxson,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
