Community,Total Number of generators,Total Capacity (in kW),Largest generator (in kW),Sizing,"Number to replace (""Poor"")",Switchgear Suitable,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced
Nome,5,16357,5211,properly sized,0,Yes,Yes,No,unknown,unknown
Noorvik,3,1614,750,properly sized,2,No,No,No,N/A,N/A
Northway,3,1030,400,oversized,0,Yes,No,No,N/A,N/A
Nuiqsut,5,3910,910,properly sized,0,Yes,Yes,No,unknown,unknown
Nulato,3,1002,376,properly sized,0,No,Yes,No,7300,none
Nunam Iqua,3,708,250,undersized & oversized,0,No,Yes,No,9000,unknown
Nunapitchuk,1,500,500,properly sized,0,No,Yes,No,N/A,N/A
Old Harbor,3,530,200,properly sized,0,No,No,No,N/A,N/A
Ouzinkie,3,335,190,properly sized,0,Yes,No,No,0,0
Pedro Bay,3,211,95,properly sized,0,Yes,No,No,N/A ,N/A
Pelican,3,921,371,properly sized,0,Yes,No,No,unknown,unknown
Perryville,3,473,175,properly sized,0,No,Yes,Yes,10950,unknown
Petersburg,8,32000,,,,,,,,
Pilot Point,3,246,101,properly sized,0,Yes,Yes,Yes,unknown,unknown
Pilot Station,3,1200,,,,,,,,
Pilot Station ,3,1202,450,properly sized,0,No,No,No,0,0
Platinum,2,129,75,properly sized,0,No,Yes,No,N/A,0
Point Hope,4,3100,,,,,,,,
Point Lay,4,2400,,,,,,,,
Port Alsworth,3,466,187,properly sized,0,No,Yes,No,14600,2500
Port Heiden,2,369,190,properly sized,1,No,Yes,No,unknown,unknown
Quinhagak,3,1212,499,oversized,,Yes,No,Yes,unknown,unknown
Rampart,3,367,187,properly sized,1,No,No,No,unknown,unknown
Red Devil,3,130,50,properly sized,3,No,No,No,0,0
Ruby,3,470,230,properly sized,0,Yes,Yes,Yes,14600,3650
Russian Mission,3,904,376,properly sized,0,No,Yes,No,unknown,unknown
Saint George,4,890,330,properly sized,2,No,No,No,N/A,N/A
Saint Mary's,3,2175,915,properly sized,0,Yes,Yes,No,unknown,unknown
Saint Michael,3,1060,500,properly sized,1,No,No,No,N/A,N/A
Saint Paul,5,2920,855,oversized,0,No,Yes,No,unknown,unknown
Sand Point,4,2880,900,properly sized,0,Yes,Yes,No,3650,18250
Savoonga,3,1523,660,properly sized,0,Yes,Yes,No,unknown,unknown
Scammon Bay,3,1285,660,properly sized,0,No,Yes,No,N/A,N/A
Selawik,3,1625,800,properly sized,1,Yes,Yes,Yes,unknown,unknown
Shageluk,3,407.5,190,properly sized,0,No,Yes,No,unknown,unknown
Shaktoolik,3,998,470,oversized,0,Yes,Yes,No,unknown,unknown
Shishmaref,4,1576,500,properly sized,2,No,Yes,No,unknown,unknown
Shungnak,4,1317,400,properly sized,0,No,Yes,No,unknown,unknown
Sitka,5,25600,,,,,,,,
Skagway,4,3400,,,,,,,,
Slana,3,730,275,properly sized,0,Yes,Yes,No,unknown,unknown
Sleetmute,4,323,110,properly sized,0,Yes,No,No,0,0
Stebbins,3,1100,500,properly sized,1,No,No,No,N/A,N/A
Stevens Village,4,258,95,properly sized,0,Yes,Yes,Yes,unknown,unknown
Stony River,3,138,64,properly sized,0,Yes,No,No,0,0
Takotna,4,216,78,properly sized,3,No,No,No,N/A,N/A
Tanana,4,1605,680,properly sized,0,No,Yes,Yes,unknown,unknown
Tatitlek,3,315,125,properly sized,2,No,No,No,unknown,unknown
Telida,3,28,28,,3,No,No,No,N/A,N/A
Teller,6,1050,297,properly sized,3,No,No,No,N/A,N/A
Tenakee Springs,3,240,88,properly sized,0,Yes,No,No,unknown,unknown
Thorne Bay,2,1075,650,properly sized,0,Yes,No,No,unknown,unknown
Togiak,3,1628,828,properly sized,0,No,Yes,No,unknown,unknown
Tok,6,7010,1930,oversized,0,No,Yes,No,unknown,unknown
Toksook Bay,3,1531,756,properly sized,0,Yes,Yes,Yes,N/A,N/A
Tuluksak,4,795,290,properly sized,4,No,No,No,N/A,N/A
Tuntutuliak,4,802,250,properly sized,0,No,No,No,0,0
Tununak,1,325,325,properly sized,0,No,No,No,N/A,N/A
Twin Hills,2,220,128,properly sized,0,No,No,No,N/A,N/A
Unalakleet,4,1820,455,properly sized,0,Yes,Yes,Yes,unknown,unknown
Unalaska,7,19060,5400,properly sized,0,No,Yes,No,unknown,unknown
Upper Kalskag,3,1100,325,properly sized,0,Yes,No,No,unknown,unknown
Valdez,8,15000,,,,,,,,
Venetie,3,495,190,properly sized,0,No,Yes,No,2000,unknown
Wainwright,5,3110,910,undersized,0,Yes,Yes,Yes,unknown,unknown
Wales,3,495,200,properly sized,0,No,No,No,unknown,unknown
Whale Pass,3,250,110,properly sized,0,Yes,Yes,No,unknown,unknown
White Mountain,3,585,275,properly sized,1,Yes,Yes,No,unknown,unknown
Wrangell,4,8500,,,,,,,,
Yakutat,5,6715,1855,oversized,1,Yes,Yes,Yes,unknown,unknown
