Model ID,Community,Energy Region,GNIS,FIPS,Alias
211,Eagle Village,Yukon-Koyukuk/Upper Tanana,1401553,20600,
158,Edna Bay,Southeast,1421658,20970,
98,Eek,Lower Yukon-Kuskokwim,1401666,21040,
35,Egegik,Bristol Bay,1401686,21150,
36,Ekwok,Bristol Bay,1401738,21810,
159,Elfin Cove,Southeast,1401787,22140,
15,Elim,Bering Straits,1401788,22250,
99,Emmonak,Lower Yukon-Kuskokwim,1401837,22910,
212,Evansville,Yukon-Koyukuk/Upper Tanana,1401936,23790,
160,Excursion Inlet,Southeast,1401951,23900,
5,False Pass,Aleutians,1418574,24660,
213,Fort Yukon,Yukon-Koyukuk/Upper Tanana,1402276,26760,
61,Gakona,Copper River/Chugach,1402448,27420,
214,Galena,Yukon-Koyukuk/Upper Tanana,1402457,27530,
16,Gambell,Bering Straits,1402463,27640,
161,Game Creek,Southeast,1866948,27700,
62,Glennallen,Copper River/Chugach,1402643,28740,
17,Golovin,Bering Straits,1402760,29180,
100,Goodnews Bay,Lower Yukon-Kuskokwim,1415910,29290,
215,Grayling,Yukon-Koyukuk/Upper Tanana,1402921,30060,
63,Gulkana,Copper River/Chugach,1403046,30500,
162,Gustavus,Southeast,1403078,30940,
163,Haines,Southeast,1422400,31050,
216,Healy Lake,Yukon-Koyukuk/Upper Tanana,2419534,32310,
164,Hobart Bay,Southeast,1866951,32550,
165,Hollis,Southeast,1866952,32810,
217,Holy Cross,Yukon-Koyukuk/Upper Tanana,1403447,33030,
166,Hoonah,Southeast,1403488,33360,
101,Hooper Bay,Lower Yukon-Kuskokwim,1403493,33470,
218,Hughes,Yukon-Koyukuk/Upper Tanana,1403596,33910,
219,Huslia,Yukon-Koyukuk/Upper Tanana,1403644,34350,
167,Hydaburg,Southeast,1422709,34460,
168,Hyder,Southeast,1422711,34570,
37,Igiugig,Bristol Bay,1403706,34790,
38,Iliamna,Bristol Bay,1403763,35120,
169,Juneau,Southeast,1404263,36400,
170,Kake,Southeast,1422926,36770,
138,Kaktovik,North Slope,1404349,36990,
220,Kaltag,Yukon-Koyukuk/Upper Tanana,1404379,37430,
80,Karluk,Kodiak Region,1404456,37540,
171,Kasaan,Southeast,1404468,37650,
102,Kasigluk,Lower Yukon-Kuskokwim,1404483,37975,
64,Kenny Lake,Copper River/Chugach,1866955,38910,
172,Ketchikan,Southeast,1423039,38970,
146,Kiana,Northwest Arctic,1413311,39300,
6,King Cove,Aleutians,1418792,39410,
39,King Salmon,Bristol Bay,1404738,39630,
103,Kipnuk,Lower Yukon-Kuskokwim,1404781,39740,
147,Kivalina,Northwest Arctic,1413348,39960,
173,Klawock,Southeast,1423100,40400,
174,Klukwan,Southeast,1866956,40510,
148,Kobuk,Northwest Arctic,1413362,40840,
81,Kodiak,Kodiak Region,1404875,40950,
82,Kodiak Station,Kodiak Region,2418665,41210,
40,Kokhanok,Bristol Bay,1404333,41280,
41,Koliganek,Bristol Bay,1404914,41500,
104,Kongiganak,Lower Yukon-Kuskokwim,1404934,41610,
