Community,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced,Project Name,Year,Phase Completed,New/Repair/Extension,Total Round-trip Distance of Piping (feet),Number of Buildings/Facilities,Buildings/Facilities to be Served,Proposed Gallons of Diesel Offset,Proposed Maximum Btu/hr,Total CAPEX,Source,
Noatak,No,No,unknown,unknown,,,,,,,,,,,,
Nome,Yes,No,unknown,unknown,,,,,,,,,,,,
Noorvik,No,No,N/A,N/A,Heat Recovery for the Water Treatment Plant,2012,Feasibility,New,3600,1,WTP,18600,400000,986000,ANTHC HR Study,
Northway,No,No,N/A,N/A,,,,,,,,,,,,
Nuiqsut,Yes,No,unknown,unknown,,,,,,,,,,,,
Nulato,Yes,No,7300,none,,,,,,,,,,,,
Nunam Iqua,Yes,No,9000,unknown,,,,,,,,,,,,
Nunapitchuk,Yes,No,N/A,N/A,,,,,,,,,,,,
Old Harbor,No,No,N/A,N/A,,,,,,,,,,,,
Ouzinkie,No,No,0,0,,,,,,,,,,,,
Pedro Bay,No,No,N/A ,N/A,,,,,,,,,,,,
Pelican,No,No,unknown,unknown,,,,,,,,,,,,
Perryville,Yes,Yes,10950,unknown,,,,,,,,,,,,
Petersburg,,,,,,,,,,,,,,,,
Pilot Point,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Pilot Station,,,,,,,,,,,,,,,,
Pilot Station ,No,No,0,0,,,,,,,,,,,,
Platinum,Yes,No,N/A,0,,,,,,,,,,,,
Point Hope,,,,,,,,,,,,,,,,
Point Lay,,,,,,,,,,,,,,,,
Port Alsworth,Yes,No,14600,2500,,,,,,,,,,,,
Port Heiden,Yes,No,unknown,unknown,,,,,,,,,,,,
Quinhagak,No,Yes,unknown,unknown,,,,,,,,,,,,
Rampart,No,No,unknown,unknown,,,,,,,,,,,,
Red Devil,No,No,0,0,,,,,,,,,,,,
Ruby,Yes,Yes,14600,3650,,,,,,,,,,,,
Russian Mission,Yes,No,unknown,unknown,Russian Mission Heat Recovery System,2011,Feasibility,New,1200,1,WTP,2200,70000,351929,ANTHC HR Study,
Saint George,No,No,N/A,N/A,,,,,,,,,,,,
Saint Mary's,Yes,No,unknown,unknown,St Marys Heat Recovery System,2013,Feasibility,New,1600,4,"City Shop, Water Circulation, Cold Storage/Hotel, City Office",15726,510000,715243,ANTHC HR Study,
Saint Michael,No,No,N/A,N/A,,,,,,,,,,,,
Saint Paul,Yes,No,unknown,unknown,,,,,,,,,,,,
Sand Point,Yes,No,3650,18250,,,,,,,,,,,,
Savoonga,Yes,No,unknown,unknown,,,,,,,,,,,,
Scammon Bay,Yes,No,N/A,N/A,,,,,,,,,,,,
Selawik,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Shageluk,Yes,No,unknown,unknown,,,,,,,,,,,,
Shaktoolik,Yes,No,unknown,unknown,,,,,,,,,,,,
Shishmaref,Yes,No,unknown,unknown,Shishmaref Heat Recovery Project,2010,Feasibility,New,400,3,"City office, Clinic, WTP",7900,260000,327201,ANTHC HR Study,
Shungnak,Yes,No,unknown,unknown,,,,,,,,,,,,
Sitka,,,,,,,,,,,,,,,,
Skagway,,,,,,,,,,,,,,,,
Slana,Yes,No,unknown,unknown,,,,,,,,,,,,
Sleetmute,No,No,0,0,,,,,,,,,,,,
Stebbins,No,No,N/A,N/A,Stebbins Heat Recovery Project,0,0,0,0,0,0,0,0,0,0,
Stevens Village,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Stony River,No,No,0,0,,,,,,,,,,,,
Takotna,No,No,N/A,N/A,,,,,,,,,,,,
Tanana,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Tatitlek,No,No,unknown,unknown,,,,,,,,,,,,
Telida,No,No,N/A,N/A,,,,,,,,,,,,
Teller,No,No,N/A,N/A,,,,,,,,,,,,
Tenakee Springs,No,No,unknown,unknown,,,,,,,,,,,,
