#,,,,BEES,,,,Pre-Retrofit (No BEES),,,Post-Retrofit,,,,,
#Community,Energy Region,,Total Occupied,Number,Avg Area (SF),Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Number,Avg Area (SF),Avg EUI (MMBtu/sf),Number,Avg Area (SF),Avg. EUI Reduction,Avg EUI (MMBtu/sf),,Notes
Community,Energy Region,Year,Total Occupied,BEES Number,BEES Avg Area (SF),BEES Avg EUI (MMBtu/sf),BEES Total Consumption (MMBtu),Pre-Retrofit Number,Pre-Retrofit Avg Area (SF),Pre-Retrofit Avg EUI (MMBtu/sf),Post-Retrofit Number,Post-Retrofit Avg Area (SF),Post-Retrofit Avg. EUI Reduction,Post-Retrofit Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Notes
Birch Creek,Yukon-Koyukuk/Upper Tanana,2010,17,0,0,0,0,1,1121.814623,0.246540221,1,1155,0.32640461,0.10208658,117.91,0
Brevig Mission,Bering Straits,2010,93,0,0,0,0,0,1243.088743,0.150946996,5,1243.088743,0.326127715,0.116946092,726.8718525,0
Buckland,Northwest Arctic,2010,98,0,0,0,0,37,1021.162162,0.208108709,45,999.2727273,0.331439503,0.127345029,5726.358649,0
Central,Yukon-Koyukuk/Upper Tanana,2010,53,0,0,0,0,6,1121.814623,0.246540221,8,1205.8,0.32640461,0.181858708,1754.281845,0
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,2010,24,0,0,0,0,18,1121.814623,0.246540221,20,671.3888889,0.32640461,0.207719968,2789.217577,0
Chefornak,Lower Yukon-Kuskokwim,2010,92,0,0,0,0,0,1045.957276,0.166638146,0,1045.957276,0.33369832,0.115472306,0,0
Chenega Bay,Copper River/Chugach,2010,31,0,0,0,0,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Chevak,Lower Yukon-Kuskokwim,2010,209,0,0,0,0,2,1045.957276,0.105139583,133,380,0.33369832,0.070054681,3540.563576,0
Chicken,Yukon-Koyukuk/Upper Tanana,2010,5,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Chignik,Bristol Bay,2010,41,4,1375.5,0.059214417,325.7977203,1,1253.745741,0.136496995,1,2200,0.23348266,0.083045455,182.7,0
Chignik Lagoon,Bristol Bay,2010,29,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Chignik Lake,Bristol Bay,2010,27,0,0,0,0,3,1253.745741,0.067362657,15,2864,0.23348266,0.025974162,1115.85,0
Chiniak,Kodiak,2010,20,0,0,0,0,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Chistochina,Copper River/Chugach,2010,36,2,1247,0.118865277,296.45,14,1845.151618,0.172757897,10,1350.0725,0.299936852,0.117500164,1586.337408,0
Chitina,Copper River/Chugach,2010,52,1,1664,0.071207933,118.49,1,1845.151618,0.154314146,18,530,0.299936852,0.148771311,1419.278304,0
Chuathbaluk,Lower Yukon-Kuskokwim,2010,36,0,0,0,0,1,1045.957276,0.166638146,9,1045.957276,0.33369832,0.115472306,1087.011884,0
Circle,Yukon-Koyukuk/Upper Tanana,2010,40,1,1312,0.069420732,91.08,7,1121.814623,0.246540221,21,819.5,0.32640461,0.120419477,2072.358983,0
Clark's Point,Bristol Bay,2010,24,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Coffman Cove,Southeast,2010,89,2,2108.875,0.048209658,203.3362864,6,1711.790371,0.122774639,4,1648,0.280661724,0.078617371,518.2457122,0
Cold Bay,Aleutians,2010,46,0,0,0,0,0,1280.005262,0.120359464,0,1280.005262,0.320659103,0.080064498,0,0
Coldfoot,Yukon-Koyukuk/Upper Tanana,2010,6,0,0,0,0,3,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Copper Center,Copper River/Chugach,2010,123,7,2188,0.088035314,1348.348865,78,1870.016711,0.228641795,87,1823.368947,0.356214911,0.144252271,22883.18466,0
Cordova,Copper River/Chugach,2010,922,30,1938,0.092098249,5354.592172,222,1874.326171,0.135897942,132,1794.805233,0.303517825,0.099823308,23649.56812,0
Covenant Life,Southeast,2010,35,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Craig,Southeast,2010,470,34,2228.352941,0.053751132,4072.400729,135,1105.877778,0.179336436,145,1102.004032,0.299345246,0.10641497,17004.11024,0
Crooked Creek,Lower Yukon-Kuskokwim,2010,38,0,0,0,0,3,1045.957276,0.172184066,14,594.6666667,0.33369832,0.10362065,862.676453,0
Deering,Northwest Arctic,2010,44,0,0,0,0,27,948.0740741,0.181085548,30,948.0740741,0.440804719,0.096622274,2748.152183,0
Dillingham,Bristol Bay,2010,855,21,2616,0.082473378,4530.757511,240,1569.462542,0.132297849,151,1461.95,0.232544151,0.100914857,22277.40378,0
Diomede,Bering Straits,2010,38,0,0,0,0,0,1243.088743,0.150946996,0,1243.088743,0.326127715,0.116946092,0,0
Dot Lake,Yukon-Koyukuk/Upper Tanana,2010,7,0,0,0,0,1,1121.814623,0.246540221,5,1121.814623,0.32640461,0.152397642,854.8095152,Wx for Dot Lake split between Dot Lake and Dot Lake Village--No data for post-retrofit available.  Uses regional averages
Dot Lake Village,Yukon-Koyukuk/Upper Tanana,2010,19,0,0,0,0,0,1121.814623,0.246540221,6,1121.814623,0.32640461,0.152397642,1025.771418,Wx for Dot Lake split between Dot Lake and Dot Lake Village--No data for post-retrofit available.  Uses regional averages
Dry Creek,Yukon-Koyukuk/Upper Tanana,2010,29,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Eagle,Yukon-Koyukuk/Upper Tanana,2010,41,1,712,0.152485955,108.57,1,1121.814623,0.246540221,2,576,0.32640461,0.161614583,186.18,0
Eagle Village,Yukon-Koyukuk/Upper Tanana,2010,31,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Edna Bay,Southeast,2010,18,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Eek,Lower Yukon-Kuskokwim,2010,91,0,0,0,0,37,787.6618919,0.144941838,74,755.5555556,0.33369832,0.088287976,4936.27886,0
Egegik,Bristol Bay,2010,29,1,975.2,0.073420837,71.6,7,1004.428571,0.104660399,15,1004.428571,0.23348266,0.10358654,1560.679212,No data for post-retrofit available.  Uses regional averages
Ekwok,Bristol Bay,2010,37,6,1356,0.067668387,550.55,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Elfin Cove,Southeast,2010,13,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Elim,Bering Straits,2010,89,4,1068.5,0.081255267,347.2850093,0,1243.088743,0.150946996,0,1243.088743,0.326127715,0.116946092,0,0
Emmonak,Lower Yukon-Kuskokwim,2010,185,1,1107,0.070939476,78.53,39,768.6410256,0.203256418,57,748,0.613863881,0.112802097,4809.430192,0
Evansville,Yukon-Koyukuk/Upper Tanana,2010,12,0,0,0,0,1,1121.814623,0.246540221,6,672,0.32640461,0.087113095,351.24,0
Excursion Inlet,Southeast,2010,6,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
False Pass,Aleutians,2010,15,0,0,0,0,4,1058,0.153868884,4,1058,0.320659103,0.12531448,530.330878,0
Fort Yukon,Yukon-Koyukuk/Upper Tanana,2010,246,1,1844,0.089126898,164.35,15,782.5833333,0.279731894,37,756.5833333,0.32640461,0.190955563,5345.530479,0
