#,,,,BEES,,,,Pre-Retrofit (No BEES),,,Post-Retrofit,,,,,
#Community,Energy Region,,Total Occupied,Number,Avg Area (SF),Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Number,Avg Area (SF),Avg EUI (MMBtu/sf),Number,Avg Area (SF),Avg. EUI Reduction,Avg EUI (MMBtu/sf),,Notes
Community,Energy Region,Year,Total Occupied,BEES Number,BEES Avg Area (SF),BEES Avg EUI (MMBtu/sf),BEES Total Consumption (MMBtu),Pre-Retrofit Number,Pre-Retrofit Avg Area (SF),Pre-Retrofit Avg EUI (MMBtu/sf),Post-Retrofit Number,Post-Retrofit Avg Area (SF),Post-Retrofit Avg. EUI Reduction,Post-Retrofit Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Notes
Nunapitchuk,Lower Yukon-Kuskokwim,2010,124,0,0,0,0,25,972.64,0.197605238,23,1043.368421,0.33369832,0.14729935,3534.81227,0
Old Harbor,Kodiak,2010,84,0,0,0,0,4,1817.021755,0.096337799,4,816,0.258583994,0.086516927,282.39125,0
Oscarville,Lower Yukon-Kuskokwim,2010,15,0,0,0,0,11,951.0909091,0.141095924,12,926.3,0.33369832,0.095488422,1061.411101,0
Ouzinkie,Kodiak,2010,56,6,1331.833333,0.065158725,520.6833701,0,1817.021755,0.106045619,1,1817.021755,0.258583994,0.098665546,179.2774436,No data for post-retrofit available.  Uses regional averages
Paxson,Copper River/Chugach,2010,22,0,0,0,0,1,1845.151618,0.154314146,1,3060,0.299936852,0.059735294,182.79,0
Pedro Bay,Bristol Bay,2010,19,0,0,0,0,10,1253.745741,0.136496995,13,1077.9,0.23348266,0.109833707,1539.066788,0
Pelican,Southeast,2010,41,0,0,0,0,3,2169.333333,0.122774639,1,1920,0.280661724,0.08634375,165.78,0
Perryville,Bristol Bay,2010,38,0,0,0,0,8,1087.5625,0.136496995,33,1087.5625,0.23348266,0.10358654,3717.675617,No data for post-retrofit available.  Uses regional averages
Petersburg,Southeast,2010,1252,102,2079.019608,0.060688095,12869.5175,353,1724.576923,0.125884486,305,1653.922379,0.344692347,0.077285457,38986.36464,0
Pilot Point,Bristol Bay,2010,27,0,0,0,0,6,1253.745741,0.136496995,7,1253.745741,0.23348266,0.10358654,909.0982868,No data for post-retrofit available.  Uses regional averages
Pilot Station,Lower Yukon-Kuskokwim,2010,121,0,0,0,0,74,861.3963514,0.212311396,72,874.619,0.27482236,0.140314505,8835.964734,0
Pitkas Point,Lower Yukon-Kuskokwim,2010,31,0,0,0,0,0,1045.957276,0.166638146,7,1045.957276,0.33369832,0.115472306,845.4536879,No data for post-retrofit available.  Uses regional averages
Platinum,Lower Yukon-Kuskokwim,2010,19,0,0,0,0,7,1045.957276,0.126025199,13,868.6666667,0.33369832,0.10229921,1155.230873,0
Point Baker,Southeast,2010,8,0,0,0,0,3,1711.790371,0.309810209,3,967,0.280661724,0.159864366,463.7665254,0
Point Hope,North Slope,2010,186,10,1129.6,0.092829475,1048.601752,32,1155.117188,0.151546291,28,1092.1875,0.248341489,0.107251165,3279.874682,0
Point Lay,North Slope,2010,60,6,917.5416667,0.093132912,512.7199643,15,977.1,0.190531661,16,977.1,0.248341489,0.134175735,2097.649769,0
Pope-Vannoy Landing,Bristol Bay,2010,3,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Port Alexander,Southeast,2010,22,0,0,0,0,7,1078.857143,0.175894739,4,1015.5,0.280661724,0.116952079,475.0593461,0
Port Alsworth,Bristol Bay,2010,44,2,1799,0.098514361,354.4546699,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Port Heiden,Bristol Bay,2010,35,0,0,0,0,44,1176.052955,0.102751267,19,1122.235294,0.23348266,0.082344769,1755.793922,0
Port Lions,Kodiak,2010,77,6,1237,0.05930154,440.1360271,1,1817.021755,0.106045619,31,1817.021755,0.258583994,0.098665546,5557.600752,No data for post-retrofit available.  Uses regional averages
Port Protection,Southeast,2010,26,0,0,0,0,4,1711.790371,0.122774639,5,719.75,0.280661724,0.088316497,317.8289936,0
Portage Creek,Bristol Bay,2010,1,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Quinhagak,Lower Yukon-Kuskokwim,2010,165,11,1116.340909,0.066107807,811.7873419,10,929.6,0.095256006,36,915,0.33369832,0.063469237,2090.676669,0
Rampart,Yukon-Koyukuk/Upper Tanana,2010,10,0,0,0,0,1,1121.814623,0.246540221,5,1280,0.32640461,0.165181948,1057.164466,0
Red Devil,Lower Yukon-Kuskokwim,2010,12,0,0,0,0,4,1045.957276,0.166638146,4,563.5,0.33369832,0.143075503,322.4921849,0
Ruby,Yukon-Koyukuk/Upper Tanana,2010,62,5,1312,0.06973628,457.47,1,1121.814623,0.246540221,47,1216,0.32640461,0.165181948,9440.478682,0
Russian Mission,Lower Yukon-Kuskokwim,2010,73,0,0,0,0,30,861,0.214231159,49,809.5172414,0.336151448,0.135730488,5383.932338,0
Saint George,Aleutians,2010,42,0,0,0,0,17,1052.867647,0.134510982,17,1052.867647,0.305527287,0.09157119,1639.009837,0
Saint Mary's,Lower Yukon-Kuskokwim,2010,151,3,1196.666667,0.078006254,280.0424514,24,877.7083333,0.225428207,40,869.9565217,0.381092592,0.130447224,4539.336518,0
Saint Michael,Bering Straits,2010,96,7,1240,0.064290573,558.0421769,14,761,0.150946996,14,706.8333333,0.326127715,0.101134487,1000.793172,0
Saint Paul,Aleutians,2010,162,9,1104.666667,0.102629916,1020.346626,45,1280.005262,0.154050605,38,1023.608857,0.370210598,0.10056773,3911.796744,0
Sand Point,Aleutians,2010,246,3,1101.333333,0.077016301,254.4618581,64,1291.407344,0.12062934,58,1194.5518,0.333763289,0.081718935,5661.815033,0
Savoonga,Bering Straits,2010,166,10,1155.2,0.091145939,1052.917887,0,1243.088743,0.150946996,7,1243.088743,0.326127715,0.116946092,1017.620593,No data for post-retrofit available.  Uses regional averages
Saxman,Southeast,2010,120,0,0,0,0,11,1711.790371,0.09277651,40,1991.4,0.280661724,0.066912625,5329.992027,0
Scammon Bay,Lower Yukon-Kuskokwim,2010,96,0,0,0,0,51,760.0784314,0.166638146,82,764.8,0.490621738,0.127262795,7981.10803,0
Selawik,Northwest Arctic,2010,186,0,0,0,0,5,1150.504333,0.208108709,123,4362.6,0.331439503,0.113251829,60770.90884,0
Shageluk,Yukon-Koyukuk/Upper Tanana,2010,36,6,1073.333333,0.067251933,433.1024464,5,1121.814623,0.246540221,7,713,0.32640461,0.088513324,441.77,0
Shaktoolik,Bering Straits,2010,64,2,1232,0.063539448,156.5612008,7,1243.088743,0.150946996,48,892,0.326127715,0.100988394,4323.919075,0
Shishmaref,Bering Straits,2010,141,0,0,0,0,0,1243.088743,0.150946996,2,1243.088743,0.326127715,0.116946092,290.748741,0
Shungnak,Northwest Arctic,2010,62,0,0,0,0,56,959.5367857,0.208108709,35,1064,0.331439503,0.121447368,4522.7,0
Silver Springs,Copper River/Chugach,2010,44,0,0,0,0,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Sitka,Southeast,2010,3545,84,1657.185476,0.058971739,8209.077135,731,1640.689904,0.115783853,686,1513.415329,0.245047491,0.084936438,88181.25735,0
Skagway,Southeast,2010,436,23,1754.913043,0.068136328,2750.18662,43,1674.998837,0.146205593,29,1517.508462,0.280661724,0.121746311,5357.780655,0
Slana,Copper River/Chugach,2010,77,0,0,0,0,9,1845.151618,0.154314146,5,1283.333333,0.299936852,0.14290814,916.9938981,0
Sleetmute,Lower Yukon-Kuskokwim,2010,36,0,0,0,0,17,804,0.166638146,18,909.6,0.33369832,0.111031276,1817.892882,0
South Naknek,Bristol Bay,2010,35,4,1290.25,0.097701712,504.2385336,20,1253.745741,0.136496995,20,1104.5635,0.23348266,0.121491549,2683.902606,0
Stebbins,Bering Straits,2010,134,2,2224.5,0.070337154,312.93,16,1243.088743,0.327438793,98,562.0625,0.60070727,0.132411192,7293.489841,0
Stevens Village,Yukon-Koyukuk/Upper Tanana,2010,26,0,0,0,0,1,1121.814623,0.246540221,24,400,0.32640461,0.166068356,1594.256219,0
Stony River,Lower Yukon-Kuskokwim,2010,20,0,0,0,0,2,963.5,0.166638146,8,963.5,0.33369832,0.165542424,1276.001007,0
Takotna,Yukon-Koyukuk/Upper Tanana,2010,22,1,1344,0.073058036,98.19,16,1121.814623,0.246540221,15,704.5714286,0.32640461,0.183771819,1942.205597,0
Tanacross,Yukon-Koyukuk/Upper Tanana,2010,53,20,1259.7,0.113014274,2847.281615,23,1121.814623,0.246540221,30,1097.75,0.32640461,0.176775898,5821.672246,0
Tanana,Yukon-Koyukuk/Upper Tanana,2010,100,4,1767,0.215867537,1525.751755,54,808.6666667,0.270144618,57,814.8679245,0.36527031,0.133254248,6189.322932,0
Tatitlek,Copper River/Chugach,2010,36,5,1579.4,0.118179969,933.2672181,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Tazlina,Copper River/Chugach,2010,111,0,0,0,0,13,1845.151618,0.154314146,10,1332.865,0.299936852,0.143206966,1908.755533,0
Telida,Yukon-Koyukuk/Upper Tanana,2010,0,0,0,0,0,2,1121.814623,0.246540221,2,597.625,0.32640461,0.114971715,137.4199424,0
Teller,Bering Straits,2010,72,0,0,0,0,0,1243.088743,0.150946996,1,1243.088743,0.326127715,0.116946092,145.3743705,No data for post-retrofit available.  Uses regional averages
Tenakee Springs,Southeast,2010,72,0,0,0,0,8,1711.790371,0.122774639,4,1170,0.280661724,0.105385603,493.2046238,0
Tetlin,Yukon-Koyukuk/Upper Tanana,2010,43,2,768,0.067597656,103.83,9,817.4166667,0.246540221,13,789.09375,0.32640461,0.184182625,1889.385653,0
Thorne Bay,Southeast,2010,214,9,2196.111111,0.049824033,984.7720201,15,1711.790371,0.122774639,14,1251.166667,0.280661724,0.096047702,1682.403557,0
Togiak,Bristol Bay,2010,231,8,1615.25,0.103916539,1342.809521,96,931.0898958,0.127322682,103,996.9516129,0.23348266,0.106319937,10917.57075,0
Tok,Yukon-Koyukuk/Upper Tanana,2010,532,8,1776.75,0.096680293,1374.213682,102,1567.561569,0.24754044,92,1372.978906,0.263022279,0.166169738,20989.57416,0
Toksook Bay,Lower Yukon-Kuskokwim,2010,125,5,989.4,0.085791965,424.412852,5,1045.957276,0.166638146,95,740,0.618895936,0.099522348,6996.421098,0
Tolsona,Copper River/Chugach,2010,18,0,0,0,0,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Tonsina,Copper River/Chugach,2010,39,0,0,0,0,2,1845.151618,0.154314146,1,638.5,0.299936852,0.108029647,68.9769296,0
Tuluksak,Lower Yukon-Kuskokwim,2010,92,0,0,0,0,9,934,0.171256009,8,1003,0.33369832,0.145855801,1170.346945,0
Tuntutuliak,Lower Yukon-Kuskokwim,2010,96,4,884,0.075743778,267.83,0,1045.957276,0.166638146,30,1045.957276,0.33369832,0.115472306,3623.372948,0
Tununak,Lower Yukon-Kuskokwim,2010,84,0,0,0,0,48,761.9583333,0.193356253,58,757.7446809,0.545921201,0.078520722,3450.922243,0
Twin Hills,Bristol Bay,2010,29,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Ugashik,Bristol Bay,2010,7,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Unalakleet,Bering Straits,2010,225,1,1662,0.083598075,138.94,12,1243.088743,0.150946996,77,400,0.326127715,0.101134487,3114.9422,0
Unalaska,Aleutians,2010,927,13,1656.692308,0.085505021,1841.521632,66,1325.689394,0.117011117,46,1309.333333,0.330746838,0.072051872,4339.636221,0
Upper Kalskag,Lower Yukon-Kuskokwim,2010,60,0,0,0,0,44,1048.863636,0.188433502,42,1049.878049,0.220423395,0.136659829,6025.998478,0
Valdez,Copper River/Chugach,2010,1573,114,1859.008772,0.074479637,15784.24605,337,1950.55632,0.145259365,192,1803.168916,0.277257228,0.106983777,37038.68555,0
Venetie,Yukon-Koyukuk/Upper Tanana,2010,61,1,3240,0.057447531,186.13,42,786.6190476,0.246540221,42,813.8285714,0.540678066,0.148642399,5080.716097,0
Wainwright,North Slope,2010,147,4,1196,0.092140468,440.8,30,1211.185368,0.185190568,19,967.02,0.248341489,0.162504839,2985.763155,0
Wales,Bering Straits,2010,43,4,1168,0.059421068,277.61523,0,1243.088743,0.150946996,2,1243.088743,0.326127715,0.116946092,290.748741,0
Whale Pass,Southeast,2010,20,0,0,0,0,2,1711.790371,0.122774639,2,1536,0.280661724,0.053802083,165.28,0
White Mountain,Bering Straits,2010,65,5,1171.8,0.074066606,433.9562472,0,1243.088743,0.150946996,0,1243.088743,0.326127715,0.116946092,0,0
Wiseman,Yukon-Koyukuk/Upper Tanana,2010,5,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Womens Bay,Kodiak,2010,283,0,0,0,0,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Wrangell,Southeast,2010,1053,25,1957.36,0.07947657,3889.106467,254,1862.601969,0.149857039,228,1790.03494,0.327049204,0.099105878,40447.88049,0
Yakutat,Southeast,2010,270,3,833.3333333,0.089344061,223.3601527,38,1711.790371,0.12930739,36,1330.980714,0.243949033,0.097240744,4659.319985,0
