Community,Region,Propane ($/gallon),Source
Kaltag,Yukon-Koyukuk/Upper Tanana,8.9,AEDG
Karluk,Kodiak,5.2225,Regional Average
Kasaan,Southeast,3.255,AEDG
Kasigluk,Lower Yukon-Kuskokwim,10.9,AEDG
Kasilof,Railbelt,4.52,AEDG
Kenai,Railbelt,4.94,AEDG
Kenny Lake,Copper River/Chugach,3.95,AEDG
Ketchikan,Southeast,3.85,AEDG
Kiana,Northwest Arctic,12.5025,Regional Average
King Cove,Aleutians,6.193333333,Regional Average
King Salmon,Bristol Bay,11.23,AEDG
Kipnuk,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Kivalina,Northwest Arctic,14.05,AEDG
Klawock,Southeast,3.18,AEDG
Klukwan,Southeast,3.858958333,Regional Average
Kobuk,Northwest Arctic,12.5025,Regional Average
Kodiak,Kodiak,5.4,AEDG
Kokhanok,Bristol Bay,10.3,AEDG
Koliganek,Bristol Bay,9.75,AEDG
Kongiganak,Lower Yukon-Kuskokwim,17.75,AEDG
Kotlik,Lower Yukon-Kuskokwim,11.39,AEDG
Kotzebue,Northwest Arctic,8.4,AEDG
Koyuk,Bering Straits,15.055,AEDG
Koyukuk,Yukon-Koyukuk/Upper Tanana,8.47,AEDG
Kwethluk,Lower Yukon-Kuskokwim,7.12,AEDG
Kwigillingok,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Lake Minchumina,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Larsen Bay,Kodiak,8.94,AEDG
Levelock,Bristol Bay,8.79,AEDG
Lime Village,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Lower Kalskag,Lower Yukon-Kuskokwim,10.97,AEDG
Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Manokotak,Bristol Bay,8.832857143,Regional Average
Marshall,Lower Yukon-Kuskokwim,12.74,AEDG
McCarthy,Copper River/Chugach,4.504705882,Regional Average
McGrath,Yukon-Koyukuk/Upper Tanana,10.06,AEDG
McKinley Park,Railbelt,4.675,AEDG
Mekoryuk,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Mentasta Lake,Copper River/Chugach,3.5,AEDG
Metlakatla,Southeast,4.45,AEDG
Meyers Chuck,Southeast,3.858958333,Regional Average
Minto,Yukon-Koyukuk/Upper Tanana,5.7,AEDG
Moose Pass,Railbelt,4.24,AEDG
Mountain Village,Lower Yukon-Kuskokwim,10.54,AEDG
Naknek,Bristol Bay,10.81,AEDG
Nanwalek,Railbelt,4.660405405,Regional Average
Napaimute,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Napakiak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Napaskiak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Naukati Bay,Southeast,3.255,AEDG
Nelson Lagoon,Aleutians,6.193333333,Regional Average
Nenana,Railbelt,4.715,AEDG
New Stuyahok,Bristol Bay,10.17,AEDG
Newhalen,Bristol Bay,6.61,AEDG
Newtok,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Nightmute,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Nikiski,Railbelt,4.795,AEDG
Nikolaevsk,Railbelt,4.795,AEDG
Nikolai,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Nikolski,Aleutians,6.193333333,Regional Average
Ninilchik,Railbelt,4.795,AEDG
Noatak,Northwest Arctic,12.5025,Regional Average
Nome,Bering Straits,6.815,AEDG
Nondalton,Bristol Bay,8.5,AEDG
Noorvik,Northwest Arctic,12.44,AEDG
North Pole,Railbelt,4.25,AEDG
Northway,Yukon-Koyukuk/Upper Tanana,4.035,AEDG
Nuiqsut,North Slope,7.63,AEDG
Nulato,Yukon-Koyukuk/Upper Tanana,8.26,AEDG
Nunam Iqua,Lower Yukon-Kuskokwim,6.04,AEDG
Nunapitchuk,Lower Yukon-Kuskokwim,10.55,AEDG
Old Harbor,Kodiak,5.2225,Regional Average
Oscarville,Lower Yukon-Kuskokwim,3.125,AEDG
Ouzinkie,Kodiak,6.55,AEDG
Palmer,Railbelt,4.495,AEDG
Paxson,Copper River/Chugach,4.07,AEDG
