#2013 ACS data (B25040),,,,,,,,,,,,,,,,,,,,
Community Name,Borough/Census Area,Total,Error Total,Utility Gas,Error Utility gas,LP,Error LP,Electricity,Error Electricity,Fuel Oil,Error Fuel Oil,Coal,Error Coal,Wood,Error Wood,Solar,Error Solar,Other,Error Other,No fuel used
Chistochina,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Chitina,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Chuathbaluk,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Chugiak,Anchorage Municipality,1,0.0076134895,0.821591514,0.0109307277,0.0085164626,0.0015683218,0.1346950802,0.007356855,0.0230971029,0.0036879325,0.0002186146,0.0002471295,0.0062067523,0.0017774314,0,0.0002091096,0.0031461486,0.0012356475,0.0025283248
Chuloonawick,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Circle,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Circle Hot Springs,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Circle View Stampede,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
City and Borough of Juneau - CBJ,Juneau City and Borough,1,0.0177700636,0.0234730143,0.0078518886,0.0299198281,0.010083478,0.2255558311,0.0214067278,0.6707992396,0.0264484668,0.0011571204,0.001983635,0.0334738408,0.0115712042,0,0.0016530292,0.0101661294,0.005041739,0.0054549963
City and Borough of Sitka,Sitka City and Borough,1,0.044738323,0.0188519977,0.0126617895,0.050365785,0.022228475,0.3005064716,0.0402363534,0.5621834553,0.0464265616,0.0014068655,0.002813731,0.0593697243,0.0177265053,0,0.0036578503,0.0025323579,0.0022509848,0.0047833427
