Community,Buildings,,,,,,
Nulato,22,,,,,,
Nunam Iqua,16,,,,,,
Nunapitchuk,28,,,,,,
Old Harbor,39,,,,,,
Oscarville,8,,,,,,
Ouzinkie,31,,,,,,
Pedro Bay,19,,,,,,
Pelican,12,,,,,,
Perryville,21,,,,,,
Petersburg,131,,,,,,
Pilot Point,17,,,,,,
Pilot Station,27,,,,,,
Pitkas Point,9,,,,,,
Platinum,19,,,,,,
Point Baker,10,,,,,,
Point Hope,38,,,,,,
Point Lay,37,,,,,,
Port Alexander,23,,,,,,
Port Alsworth,27,,,,,,
Port Heiden,25,,,,,,
Port Lions,30,,,,,,
Port Protection,14,,,,,,
Quinhagak,36,,,,,,
Rampart,16,,,,,,
Red Devil,9,,,,,,
Ruby,30,,,,,,
Russian Mission,35,,,,,,
Sand Point,55,,,,,,
Savoonga,37,,,,,,
Saxman,16,,,,,,
Scammon Bay,37,,,,,,
Selawik,335,,,,,,
Shageluk,29,,,,,,
Shaktoolik,16,,,,,,
Shishmaref,51,,,,,,
Shungnak,27,,,,,,
Silver Springs,34,,,,,,
Sitka,302,,,,,,
Skagway,59,,,,,,
Slana,16,,,,,,
Sleetmute,16,,,,,,
South Naknek,40,,,,,,
St. George,14,,,,,,
St. Mary's,56,,,,,,
St. Michael,21,,,,,,
St. Paul,20,,,,,,
Stebbins,19,,,,,,
Stevens Village,10,,,,,,
Stony River,22,,,,,,
Takotna,18,,,,,,
Tanacross,23,,,,,,
Tanana,28,,,,,,
Tatitlek,17,,,,,,
Tazlina,20,,,,,,
Teller,27,,,,,,
Tenakee Springs,28,,,,,,
Tetlin,13,,,,,,
Thorne Bay,42,,,,,,
Togiak,49,,,,,,
Tok,64,,,,,,
Toksook Bay,39,,,,,,
Tuluksak,15,,,,,,
Tuntutuliak,14,,,,,,
Tununak,22,,,,,,
Twin Hills,16,,,,,,
Ugashik,21,,,,,,
Unalakleet,45,,,,,,
Unalaska,203,,,,,,
Upper Kalskag,23,,,,,,
Valdez,206,,,,,,
Venetie,15,,,,,,
Wainwright,49,,,,,,
Wales,20,,,,,,
White Mountain,22,,,,,,
Willow Creek,16,,,,,,
Womens Bay,65,,,,,,
Wrangell,106,,,,,,
Yakutat,84,,,,,,
,9819,,,,,,
